Month,River Temperature,Saturated Dissolved Oxygen
Jan-22,26.0,8.11370702294447
Feb-22,26.0,8.11370702294447
Mar-22,26.0,8.11370702294447
Apr-22,27.0,7.968561456103062
May-22,27.0,7.968561456103062
Jun-22,27.0,7.968561456103062
Jul-22,27.0,7.968561456103062
Aug-22,25.0,8.263539332799676
Sep-22,27.0,7.968561456103062
Oct-22,27.0,7.968561456103062
Nov-22,27.0,7.968561456103062
Dec-22,27.0,7.968561456103062
Jan-21,26.0,8.11370702294447
Feb-21,26.0,8.11370702294447
Mar-21,26.0,8.11370702294447
Apr-21,27.0,7.968561456103062
May-21,25.0,8.263539332799676
Jun-21,25.0,8.263539332799676
Jul-21,25.0,8.263539332799676
Aug-21,26.0,8.11370702294447
Sep-21,28.0,7.827858984181117
Oct-21,26.0,8.11370702294447
Nov-21,26.0,8.11370702294447
Dec-21,26.0,8.11370702294447
Jan-20,25.0,8.263539332799676
Feb-20,25.0,8.263539332799676
Mar-20,25.0,8.263539332799676
Apr-20,26.0,8.11370702294447
May-20,27.0,7.968561456103062
Jun-20,27.0,7.968561456103062
Jul-20,26.0,8.11370702294447
Aug-20,26.0,8.11370702294447
Sep-20,26.0,8.11370702294447
Oct-20,27.0,7.968561456103062
Nov-20,27.0,7.968561456103062
Dec-20,26.0,8.11370702294447
Jan-19,22.0,8.743799788719855
Feb-19,25.0,8.263539332799676
Mar-19,27.0,7.968561456103062
Apr-19,28.0,7.827858984181117
May-19,28.0,7.827858984181117
Jun-19,27.0,7.968561456103062
Jul-19,28.0,7.827858984181117
Aug-19,26.0,8.11370702294447
Sep-19,27.0,7.968561456103062
Oct-19,27.0,7.968561456103062
Nov-19,27.0,7.968561456103062
Dec-19,26.0,8.11370702294447
Jan-18,23.0,8.578306834842317
Feb-18,22.0,8.743799788719855
Mar-18,24.0,8.418315489045314
Apr-18,28.0,7.827858984181117
May-18,26.0,8.11370702294447
Jun-18,22.0,8.743799788719855
Jul-18,29.0,7.691368677997353
Aug-18,27.0,7.968561456103062
Sep-18,28.0,7.827858984181117
Oct-18,28.0,7.827858984181117
Nov-18,26.0,8.11370702294447
Dec-18,26.0,8.11370702294447
Jan-17,24.0,8.418315489045314
Feb-17,22.0,8.743799788719855
Mar-17,25.0,8.263539332799676
Apr-17,26.0,8.11370702294447
May-17,25.0,8.263539332799676
Jun-17,24.0,8.418315489045314
Jul-17,24.0,8.418315489045314
Aug-17,25.0,8.263539332799676
Sep-17,26.0,8.11370702294447
Oct-17,26.0,8.11370702294447
Nov-17,26.0,8.11370702294447
Dec-17,25.0,8.263539332799676
Jan-16,24.0,8.418315489045314
Feb-16,25.0,8.263539332799676
Mar-16,28.0,7.827858984181117
Apr-16,25.0,8.263539332799676
May-16,25.0,8.263539332799676
Jun-16,24.0,8.418315489045314
Jul-16,24.0,8.418315489045314
Aug-16,29.0,7.691368677997353
Sep-16,26.0,8.11370702294447
Oct-16,25.0,8.263539332799676
Nov-16,27.0,7.968561456103062
Dec-16,26.0,8.11370702294447
Jan-15,26.0,8.11370702294447
Feb-15,24.0,8.418315489045314
Mar-15,24.0,8.418315489045314
Apr-15,25.0,8.263539332799676
May-15,26.0,8.11370702294447
Jun-15,23.0,8.578306834842317
Jul-15,24.0,8.418315489045314
Aug-15,22.0,8.743799788719855
Sep-15,22.0,8.743799788719855
Oct-15,24.0,8.418315489045314
Nov-15,24.0,8.418315489045314
Dec-15,22.0,8.743799788719855
