Water Temperature,Saturated Dissolved Oxygen
26.0,8.11370702294447
26.0,8.11370702294447
26.0,8.11370702294447
27.0,7.968561456103062
27.0,7.968561456103062
27.0,7.968561456103062
27.0,7.968561456103062
25.0,8.263539332799676
27.0,7.968561456103062
27.0,7.968561456103062
27.0,7.968561456103062
27.0,7.968561456103062
26.0,8.11370702294447
26.0,8.11370702294447
26.0,8.11370702294447
27.0,7.968561456103062
25.0,8.263539332799676
25.0,8.263539332799676
25.0,8.263539332799676
26.0,8.11370702294447
28.0,7.827858984181117
26.0,8.11370702294447
26.0,8.11370702294447
26.0,8.11370702294447
25.0,8.263539332799676
25.0,8.263539332799676
25.0,8.263539332799676
26.0,8.11370702294447
27.0,7.968561456103062
27.0,7.968561456103062
26.0,8.11370702294447
26.0,8.11370702294447
26.0,8.11370702294447
27.0,7.968561456103062
27.0,7.968561456103062
26.0,8.11370702294447
22.0,8.743799788719855
25.0,8.263539332799676
27.0,7.968561456103062
28.0,7.827858984181117
28.0,7.827858984181117
27.0,7.968561456103062
28.0,7.827858984181117
26.0,8.11370702294447
27.0,7.968561456103062
27.0,7.968561456103062
27.0,7.968561456103062
26.0,8.11370702294447
23.0,8.578306834842317
22.0,8.743799788719855
24.0,8.418315489045314
28.0,7.827858984181117
26.0,8.11370702294447
22.0,8.743799788719855
29.0,7.691368677997353
27.0,7.968561456103062
28.0,7.827858984181117
28.0,7.827858984181117
26.0,8.11370702294447
26.0,8.11370702294447
24.0,8.418315489045314
22.0,8.743799788719855
25.0,8.263539332799676
26.0,8.11370702294447
25.0,8.263539332799676
24.0,8.418315489045314
24.0,8.418315489045314
25.0,8.263539332799676
26.0,8.11370702294447
26.0,8.11370702294447
26.0,8.11370702294447
25.0,8.263539332799676
24.0,8.418315489045314
25.0,8.263539332799676
28.0,7.827858984181117
25.0,8.263539332799676
25.0,8.263539332799676
24.0,8.418315489045314
24.0,8.418315489045314
29.0,7.691368677997353
26.0,8.11370702294447
25.0,8.263539332799676
27.0,7.968561456103062
26.0,8.11370702294447
26.0,8.11370702294447
24.0,8.418315489045314
24.0,8.418315489045314
25.0,8.263539332799676
26.0,8.11370702294447
23.0,8.578306834842317
24.0,8.418315489045314
22.0,8.743799788719855
22.0,8.743799788719855
24.0,8.418315489045314
24.0,8.418315489045314
22.0,8.743799788719855
